"","site","date","YYYYMMDD","trans_type","trans_bin","trans_m","pit_bin","sed1_type","sed2_type","sed1_no","sed2_no","field_collector"
"181","2017_L_04","6/27/2013",20170628,"Edge",1,10,0,"Sandy mud","Cobble",2,8,"Tiff Stephens"
"182","2017_L_04","6/27/2013",20170628,"Edge",2,20,0,"Sandy mud","Sandy mud",2,2,"Tiff Stephens"
"183","2017_L_04","6/27/2013",20170628,"Edge",3,30,0,"Sandy mud","Mud",2,1,"Tiff Stephens"
"184","2017_L_04","6/27/2013",20170628,"Edge",4,40,0,"Sandy mud","Gravel",2,7,"Tiff Stephens"
"185","2017_L_04","6/27/2013",20170628,"Edge",5,50,0,"Gravel","Sandy mud",7,2,"Tiff Stephens"
"186","2017_L_04","6/27/2013",20170628,"Edge",6,60,0,"Sandy mud","Gravel",2,7,"Tiff Stephens"
"187","2017_L_04","6/27/2013",20170628,"Edge",7,70,0,"Sandy mud","Gravel",2,7,"Tiff Stephens"
"188","2017_L_04","6/27/2013",20170628,"Edge",8,80,0,"Gravel","Sandy mud",7,2,"Tiff Stephens"
"189","2017_L_04","6/27/2013",20170628,"Edge",9,90,0,"Gravel","Sandy mud",7,2,"Tiff Stephens"
"190","2017_L_04","6/27/2013",20170628,"Edge",10,100,0,"Gravel","Sandy mud",7,2,"Tiff Stephens"
"191","2017_L_04","6/27/2013",20170628,"Inside",1,10,0,"Muddy Sand","Muddy Sand",3,3,"Wendel Raymond"
"192","2017_L_04","6/27/2013",20170628,"Inside",2,20,0,"Muddy Sand","Muddy Sand",3,3,"Wendel Raymond"
"193","2017_L_04","6/27/2013",20170628,"Inside",3,30,0,"Muddy Sand","Muddy Sand",3,3,"Wendel Raymond"
"194","2017_L_04","6/27/2013",20170628,"Inside",4,40,0,"Muddy Sand","Muddy Sand",3,3,"Wendel Raymond"
"195","2017_L_04","6/27/2013",20170628,"Inside",5,50,0,"Gravel","Muddy Sand",7,3,"Wendel Raymond"
"196","2017_L_04","6/27/2013",20170628,"Inside",6,60,0,"Gravel","Muddy Sand",7,3,"Wendel Raymond"
"197","2017_L_04","6/27/2013",20170628,"Inside",7,70,0,"Gravel","Muddy Sand",7,3,"Wendel Raymond"
"198","2017_L_04","6/27/2013",20170628,"Inside",8,80,0,"Gravel","Muddy Sand",7,3,"Wendel Raymond"
"199","2017_L_04","6/27/2013",20170628,"Inside",9,90,0,"Muddy Sand","Muddy Sand",3,3,"Wendel Raymond"
"200","2017_L_04","6/27/2013",20170628,"Inside",10,100,0,"Muddy Sand","Muddy Sand",3,3,"Wendel Raymond"
"201","2017_L_04","6/27/2013",20170628,"Outside",1,10,0,"Sandy mud","Cobble",2,8,"Tiff Stephens"
"202","2017_L_04","6/27/2013",20170628,"Outside",2,20,0,"Sandy mud","Mud",2,1,"Tiff Stephens"
"203","2017_L_04","6/27/2013",20170628,"Outside",3,30,0,"Sandy mud","Gravel",2,7,"Tiff Stephens"
"204","2017_L_04","6/27/2013",20170628,"Outside",4,40,0,"Sandy mud","Gravel",2,7,"Tiff Stephens"
"205","2017_L_04","6/27/2013",20170628,"Outside",5,50,0,"Sandy mud","Gravel",2,7,"Tiff Stephens"
"206","2017_L_04","6/27/2013",20170628,"Outside",6,60,0,"Gravel","Sandy mud",7,2,"Tiff Stephens"
"207","2017_L_04","6/27/2013",20170628,"Outside",7,70,0,"Gravel","Sandy mud",7,2,"Tiff Stephens"
"208","2017_L_04","6/27/2013",20170628,"Outside",8,80,0,"Gravel","Sandy mud",7,2,"Tiff Stephens"
