"site","date_set","YYYYMMDD_set","time_set","date_pulled","YYYYMMDD_pulled","time_pulled","time_soak_hr","string","sp_code","mass_g"
"2017_L_06","8/10/2017",20170810,804,"8/11/2017",20170811,914,25.17,"1","CRABGRA",0
"2017_L_07","8/10/2017",20170810,1105,"8/11/2017",20170811,1300,26.92,"1","CRABHEL",0
"2017_L_07","8/10/2017",20170810,1105,"8/11/2017",20170811,1300,26.92,"1","CRABDUN",0
"2017_L_07","8/10/2017",20170810,1105,"8/11/2017",20170811,1300,26.92,"1","CRABGRA",0
"2017_L_07","8/10/2017",20170810,1105,"8/11/2017",20170811,1300,26.92,"3","CRABRR",49.6411996068505
"2017_L_07","8/10/2017",20170810,1105,"8/11/2017",20170811,1300,26.92,"1","CRABDEC",0
"2017_L_07","8/10/2017",20170810,1105,"8/11/2017",20170811,1300,26.92,"1","CRABRR",434.550884802585
"2017_L_07","8/10/2017",20170810,1105,"8/11/2017",20170811,1300,26.92,"1","UNRKCB",0
"2017_L_07","8/10/2017",20170810,1105,"8/11/2017",20170811,1300,26.92,"2","CRABDEC",0
"2017_L_07","8/10/2017",20170810,1105,"8/11/2017",20170811,1300,26.92,"3","UNRKCB",0
"2017_L_07","8/10/2017",20170810,1105,"8/11/2017",20170811,1300,26.92,"3","CRABDUN",291.377669620069
"2017_L_07","8/10/2017",20170810,1105,"8/11/2017",20170811,1300,26.92,"3","CRABGRA",0
"2017_L_07","8/10/2017",20170810,1105,"8/11/2017",20170811,1300,26.92,"3","CRABHEL",0
"2017_L_07","8/10/2017",20170810,1105,"8/11/2017",20170811,1300,26.92,"2","CRABRR",387.119329388459
"2017_L_07","8/10/2017",20170810,1105,"8/11/2017",20170811,1300,26.92,"2","CRABDUN",198.672741314381
"2017_L_07","8/10/2017",20170810,1105,"8/11/2017",20170811,1300,26.92,"2","CRABGRA",0
"2017_L_07","8/10/2017",20170810,1105,"8/11/2017",20170811,1300,26.92,"2","CRABHEL",0
"2017_L_07","8/10/2017",20170810,1105,"8/11/2017",20170811,1300,26.92,"2","UNRKCB",0
"2017_L_07","8/10/2017",20170810,1105,"8/11/2017",20170811,1300,26.92,"3","CRABDEC",0
