"","otter_region","site","latitude","longitude","core_letter","layer_number","layer_thickness","layer_volume","sample_volume","pan_number","pan_weight","pan_sed_ww_pre_60C","pan_sed_dw_post_60C","dry_bulk_density","pan_sed_dw_pre_450C","pan_sed_dw_post450C","crucible_weight","crucible_sed_dw_pre_950C","crucible_sed_dw_post_950C","sed_ww_pre_60C","na.rm","sed_dw_post_60C","sed_dw_pre_450C","sed_dw_post_450C","om_weight","sed_dw_pre_950C","sed_dw_post_950C","im_weight","om_percent","im_percent","om.im_ratio","om_density","im_density","core_depth"
"62","High","H06",55.739816,-133.312022,"A",8,1.1,21.5875,21.5875,8,1.28115,33.54461,21.52999,0.937989114070643,21.52999,20.67434,NA,NA,NA,32.26346,TRUE,20.24884,20.24884,19.39319,0.855650000000001,NA,NA,NA,4.22567416207546,NA,NA,0.802590385454546,NA,16
"63","High","H06",55.739816,-133.312022,"A",9,1.1,21.5875,21.5875,9,1.29037,36.7789,23.38618,1.02354649681529,23.38618,22.46087,NA,NA,NA,35.48853,TRUE,22.09581,22.09581,21.1705,0.92531,NA,NA,NA,4.18771703775512,NA,NA,0.947097808968153,NA,18
"64","High","H06",55.739816,-133.312022,"A",10,1.1,21.5875,21.5875,10,1.28662,35.6711,22.40581,0.978306427330631,22.40581,21.3553,NA,NA,NA,34.38448,TRUE,21.11919,21.11919,20.06868,1.05051,NA,NA,NA,4.97419645355716,NA,NA,1.0277206849751,NA,20
"65","High","H06",55.739816,-133.312022,"A",11,1.1,21.5875,21.5875,11,1.28526,34.65497,23.37565,1.02329542559351,23.37565,20.90081,NA,NA,NA,33.36971,TRUE,22.09039,22.09039,19.61555,2.47484,NA,NA,NA,11.2032426770193,NA,NA,2.53249245107585,NA,22
"66","High","H06",55.739816,-133.312022,"A",12,1.2,23.55,23.55,12,1.2795,40.41406,28.76956,1.16730615711253,28.76956,26.31159,28.68026,55.74638,52.03608,39.13456,TRUE,27.49006,27.49006,25.03209,2.45797,27.06612,23.35582,3.7103,8.94130460246358,13.7082817928835,0.662472037301565,2.86920351499788,4.33105603473461,24
"67","High","H06",55.739816,-133.312022,"A",13,1.1,21.5875,21.5875,13,1.29357,38.49739,28.42158,1.25665361899247,28.42158,26.18339,NA,NA,NA,37.20382,TRUE,27.12801,27.12801,24.88982,2.23819,NA,NA,NA,8.25047616835883,NA,NA,2.81262956349276,NA,26
"68","High","H06",55.739816,-133.312022,"A",14,1.2,23.55,23.55,14,1.2835,38.98153,27.2775,1.10377919320594,27.2775,24.98793,NA,NA,NA,37.69803,TRUE,25.994,25.994,23.70443,2.28957,NA,NA,NA,8.80807109332924,NA,NA,2.52717972738854,NA,28
"69","High","H06",55.739816,-133.312022,"A",15,1.1,21.5875,21.5875,15,1.29214,36.55845,24.32171,1.06680115807759,24.32171,22.11558,NA,NA,NA,35.26631,TRUE,23.02957,23.02957,20.82344,2.20613,NA,NA,NA,9.57955359131759,NA,NA,2.35350203886971,NA,30
"70","High","H06",55.739816,-133.312022,"A",16,1.1,21.5875,21.5875,16,1.28744,33.19788,21.16308,0.92070133178923,21.16308,17.53705,NA,NA,NA,31.91044,TRUE,19.87564,19.87564,16.24961,3.62603,NA,NA,NA,18.243588634127,NA,NA,3.3384906501077,NA,32
"71","High","H06",55.739816,-133.312022,"A",17,1,19.625,19.625,17,1.28202,19.68686,19.68686,0.937826242038217,19.68686,17.50331,25.76036,44.20559,41.17408,18.40484,TRUE,18.40484,18.40484,16.22129,2.18355,18.44523,15.41372,3.03151,11.8639988177023,16.4351976093549,0.720284610639581,2.04779049080255,2.84302963100128,34
