site,date,YYYYMMDD,trans_type,trans_bin,trans_m,pit_bin,sed1_type,sed2_type,sed1_no,sed2_no,sedno_avg,field_collector,
2017_L_03,7/23/2013,20170724,Inside,9,90,0,Mud,Gravel,1,7,4,Ashley Bolwerk,
2017_L_03,7/23/2013,20170724,Inside,10,100,0,Mud,Gravel,1,7,4,Ashley Bolwerk,
2017_L_03,7/23/2013,20170724,Outside,1,10,0,Gravel,Sandy mud,7,2,4.5,Ashley Bolwerk,
2017_L_03,7/23/2013,20170724,Outside,2,20,0,Gravel,Pebble,7,6,6.5,Ashley Bolwerk,
2017_L_03,7/23/2013,20170724,Outside,3,30,0,Gravel,Cobble,7,8,7.5,Ashley Bolwerk,
2017_L_03,7/23/2013,20170724,Outside,4,40,0,Gravel,Sandy mud,7,2,4.5,Ashley Bolwerk,
2017_L_03,7/23/2013,20170724,Outside,5,50,0,Gravel,Sandy mud,7,2,4.5,Ashley Bolwerk,
2017_L_03,7/23/2013,20170724,Outside,6,60,0,Gravel,Sandy mud,7,2,4.5,Ashley Bolwerk,
2017_L_03,7/23/2013,20170724,Outside,7,70,0,Gravel,Sandy mud,7,2,4.5,Ashley Bolwerk,
2017_L_03,7/23/2013,20170724,Outside,8,80,0,Gravel,Cobble,7,8,7.5,Ashley Bolwerk,
2017_L_03,7/23/2013,20170724,Outside,9,90,0,Gravel,Sand,7,4,5.5,Ashley Bolwerk,
2017_L_03,7/23/2013,20170724,Outside,10,100,0,Gravel,Sand,7,4,5.5,Ashley Bolwerk,
2017_L_04,6/27/2013,20170628,Edge,1,10,0,Sandy mud,Cobble,2,8,5,Tiff Stephens,
2017_L_04,6/27/2013,20170628,Edge,2,20,0,Sandy mud,Sandy mud,2,2,2,Tiff Stephens,
2017_L_04,6/27/2013,20170628,Edge,3,30,0,Sandy mud,Mud,2,1,1.5,Tiff Stephens,
2017_L_04,6/27/2013,20170628,Edge,4,40,0,Sandy mud,Gravel,2,7,4.5,Tiff Stephens,
2017_L_04,6/27/2013,20170628,Edge,5,50,0,Gravel,Sandy mud,7,2,4.5,Tiff Stephens,
2017_L_04,6/27/2013,20170628,Edge,6,60,0,Sandy mud,Gravel,2,7,4.5,Tiff Stephens,
2017_L_04,6/27/2013,20170628,Edge,7,70,0,Sandy mud,Gravel,2,7,4.5,Tiff Stephens,
2017_L_04,6/27/2013,20170628,Edge,8,80,0,Gravel,Sandy mud,7,2,4.5,Tiff Stephens,
2017_L_04,6/27/2013,20170628,Edge,9,90,0,Gravel,Sandy mud,7,2,4.5,Tiff Stephens,
2017_L_04,6/27/2013,20170628,Edge,10,100,0,Gravel,Sandy mud,7,2,4.5,Tiff Stephens,
2017_L_04,6/27/2013,20170628,Inside,1,10,0,Muddy Sand,Muddy Sand,3,3,3,Wendel Raymond,
2017_L_04,6/27/2013,20170628,Inside,2,20,0,Muddy Sand,Muddy Sand,3,3,3,Wendel Raymond,
2017_L_04,6/27/2013,20170628,Inside,3,30,0,Muddy Sand,Muddy Sand,3,3,3,Wendel Raymond,
2017_L_04,6/27/2013,20170628,Inside,4,40,0,Muddy Sand,Muddy Sand,3,3,3,Wendel Raymond,
2017_L_04,6/27/2013,20170628,Inside,5,50,0,Gravel,Muddy Sand,7,3,5,Wendel Raymond,
2017_L_04,6/27/2013,20170628,Inside,6,60,0,Gravel,Muddy Sand,7,3,5,Wendel Raymond,
2017_L_04,6/27/2013,20170628,Inside,7,70,0,Gravel,Muddy Sand,7,3,5,Wendel Raymond,
2017_L_04,6/27/2013,20170628,Inside,8,80,0,Gravel,Muddy Sand,7,3,5,Wendel Raymond,
2017_L_04,6/27/2013,20170628,Inside,9,90,0,Muddy Sand,Muddy Sand,3,3,3,Wendel Raymond,
2017_L_04,6/27/2013,20170628,Inside,10,100,0,Muddy Sand,Muddy Sand,3,3,3,Wendel Raymond,
