Site,date_YYYYMMDD,transect_location,species_common,species_scientific,species_code?,death_estimate,width_mm,notes,measures
Nossuk-Photographers Point,20180617,Inside,Steamer Clam,Protothaca staminea,,Sea otter,49,,"Lia, Maggie, Mel, Tiff"
Nossuk-Photographers Point,20180617,Inside,Steamer Clam,Protothaca staminea,,Whole,32,,"Lia, Maggie, Mel, Tiff"
Nossuk-Photographers Point,20180617,Inside,Steamer Clam,Protothaca staminea,,Whole,44,,"Lia, Maggie, Mel, Tiff"
Nossuk-Photographers Point,20180617,Inside,Steamer Clam,Protothaca staminea,,Whole,39,,"Lia, Maggie, Mel, Tiff"
Nossuk-Photographers Point,20180617,Inside,Cockle,Clinocardium nutallii,,Sea otter,52,,"Lia, Maggie, Mel, Tiff"
Nossuk-Photographers Point,20180617,Inside,Cockle,Clinocardium nutallii,,Sea otter,33,,"Lia, Maggie, Mel, Tiff"
Nossuk-Photographers Point,20180617,Inside,Cockle,Clinocardium nutallii,,Whole,39,,"Lia, Maggie, Mel, Tiff"
Nossuk-Photographers Point,20180617,Inside,Pointed Macoma,Macoma inquinata,,Sea otter,50,,"Lia, Maggie, Mel, Tiff"
Nossuk-Photographers Point,20180617,Inside,Pointed Macoma,Macoma inquinata,,Whole,40,,"Lia, Maggie, Mel, Tiff"
Nossuk-Photographers Point,20180617,Inside,Pointed Macoma,Macoma inquinata,,Whole,46,,"Lia, Maggie, Mel, Tiff"
Nossuk-Photographers Point,20180617,Inside,Pointed Macoma,Macoma inquinata,,Whole,47,,"Lia, Maggie, Mel, Tiff"
Nossuk-Photographers Point,20180617,Inside,Pointed Macoma,Macoma inquinata,,Whole,35,,"Lia, Maggie, Mel, Tiff"
Nossuk-Photographers Point,20180617,Inside,Pointed Macoma,Macoma inquinata,,Whole,38,,"Lia, Maggie, Mel, Tiff"
Nossuk-Photographers Point,20180617,Inside,Pointed Macoma,Macoma inquinata,,Whole,39,,"Lia, Maggie, Mel, Tiff"
