,site,longitude,latitude,n_otters,survey_dat
391,Calder Bay,-133.564148,56.183144,1,8/5/2019
392,Calder Bay,-133.557373,56.1847,2,8/5/2019
393,Calder Bay,-133.555832,56.185764,3,8/5/2019
394,Calder Bay,-133.554092,56.185177,1,8/5/2019
395,Calder Bay,-133.55127,56.183914,1,8/5/2019
396,Calder Bay,-133.547379,56.18581,1,8/5/2019
397,Calder Bay,-133.546249,56.188602,1,8/5/2019
398,Calder Bay,-133.542801,56.183022,1,8/5/2019
399,Calder Bay,-133.526535,56.180416,1,8/5/2019
400,Calder Bay,-133.527771,56.189869,1,8/5/2019
401,Calder Bay,-133.496658,56.175816,1,8/5/2019
402,Calder Bay,-133.518463,56.172844,1,8/5/2019
403,Calder Bay,-133.520493,56.171894,1,8/5/2019
404,Calder Bay,-133.522766,56.168205,2,8/5/2019
405,Calder Bay,-133.515671,56.17065,2,8/5/2019
406,Calder Bay,-133.522141,56.167435,1,8/5/2019
407,Calder Bay,-133.515915,56.168724,2,8/5/2019
408,Calder Bay,-133.516144,56.17218,1,8/5/2019
409,Calder Bay,-133.516769,56.16581,1,8/5/2019
410,Calder Bay,-133.512039,56.165413,1,8/5/2019
411,Calder Bay,-133.506821,56.168304,1,8/5/2019
412,Calder Bay,-133.502075,56.165462,1,8/5/2019
413,Naukati,-133.189636,55.84219,1,7/31/2019
414,Naukati,-133.201859,55.840996,1,7/31/2019
415,Naukati,-133.178513,55.851681,2,7/31/2019
416,Naukati,-133.194336,55.839344,1,7/31/2019
417,Naukati,-133.194168,55.840034,1,7/31/2019
418,Naukati,-133.196426,55.840313,1,7/31/2019
419,Naukati,-133.19545,55.83997,1,7/31/2019
420,Naukati,-133.170471,55.846344,1,7/31/2019
421,Naukati,-133.163818,55.84462,2,7/31/2019
422,Naukati,-133.172424,55.845478,2,7/31/2019
423,Naukati,-133.167007,55.845268,1,7/31/2019
424,Naukati,-133.177872,55.854927,1,7/31/2019
425,Naukati,-133.178131,55.856396,3,7/31/2019
426,Naukati,-133.166061,55.862347,2,7/31/2019
427,Naukati,-133.166504,55.863834,1,7/31/2019
428,Naukati,-133.165512,55.863327,1,7/31/2019
429,Naukati,-133.177704,55.864529,1,7/31/2019
430,Naukati,-133.185165,55.859577,1,7/31/2019
431,Naukati,-133.184128,55.8559,1,7/31/2019
432,Naukati,-133.193329,55.852211,1,7/31/2019
