"ID","Sample","Batch","FA","Area","Conc"
"B_060","B_060_SKelp_322019_16.qgd","1","C16.0",9666880,21.0271
"B_061","B_061_SKelp_322019_18.qgd","1","C16.0",9595400,20.8716
"B_001","B_001_ButterC__322019_11.qgd","1","C16.0",23169536,50.3976
"B_002","B_002_ButterC_322019_12.qgd","1","C16.0",13142776,28.5877
"B_048","B_048_ButterC_342019_18.qgd","1","C16.0",15681578,34.11
"B_050","B_050_Macoma_322019_7.qgd","1","C16.0",10131913,22.0386
"B_018","B_018_Ido_342019_12.qgd","1","C16.0",13998616,30.4493
"B_019","B_019_Ido_342019_13.qgd","1","C16.0",12661627,27.5411
"B_020","B_020_Ido_342019_14.qgd","1","C16.0",10948785,23.8154
"B_042","B_042_Ido_342019_16.qgd","1","C16.0",8298162,18.0499
"B_079","B_079_Ido_342019_22.qgd","1","C16.0",9519228,20.7059
"B_015","B_015_Dung_342019_11.qgd","1","C16.0",14262824,31.024
"B_287","B_287_Stag_322019_9.qgd","1","C16.0",16279208,35.41
"Blank","Blank_2-23__322019_10.qgd","1","C16.0",115424,0.2511
"Blank","Blank_2-27__322019_19.qgd","1","C16.0",128234,0.2789
"Blank","Blank_2-28_064__342019_10.qgd","1","C16.0",122255,0.2659
"Blank","Blank_3-1_342019_23.qgd","1","C16.0",133186,0.2897
"B_008","B_008_Ulva_322019_22.qgd","1","C16.1w9",0,0
"B_009","B_009_Ulva_322019_23.qgd","1","C16.1w9",0,0
"B_035","B_035_Ulva_322019_25.qgd","1","C16.1w9",0,0
"B_036","B_036_Ulva_322019_26.qgd","1","C16.1w9",0,0
"B_069","B_069_Ulva_342019_20.qgd","1","C16.1w9",0,0
"B_070","B_070_Ulva_342019_21.qgd","1","C16.1w9",0,0
"B_039","B_039_EG_322019_27.qgd","1","C16.1w9",0,0
"B_104","B_104_EG_322019_8.qgd","1","C16.1w9",0,0
"B_040","B_040_EG_342019_15.qgd","1","C16.1w9",0,0
"B_063","B_063_EG_342019_7.qgd","1","C16.1w9",0,0
"B_064","B_064_EG_342019_9.qgd","1","C16.1w9",0,0
"B_005","B_005_Fucus_322019_20.qgd","1","C16.1w9",0,0
"B_006","B_006_Fucus_322019_21.qgd","1","C16.1w9",0,0
"B_030","B_030_Fucus_322019_13.qgd","1","C16.1w9",0,0
"B_031","B_031_Fucus_322019_14.qgd","1","C16.1w9",0,0
"B_066","B_066_Fucus_342019_8.qgd","1","C16.1w9",0,0
"B_067","B_067_Fucus_342019_19.qgd","1","C16.1w9",0,0
"B_033","B_033_SKelp_322019_15.qgd","1","C16.1w9",0,0
"B_034","B_034_SKelp_322019_24.qgd","1","C16.1w9",0,0
"B_060","B_060_SKelp_322019_16.qgd","1","C16.1w9",0,0
"B_061","B_061_SKelp_322019_18.qgd","1","C16.1w9",0,0
"B_001","B_001_ButterC__322019_11.qgd","1","C16.1w9",0,0
"B_002","B_002_ButterC_322019_12.qgd","1","C16.1w9",0,0
"B_048","B_048_ButterC_342019_18.qgd","1","C16.1w9",0,0
"B_050","B_050_Macoma_322019_7.qgd","1","C16.1w9",0,0
"B_018","B_018_Ido_342019_12.qgd","1","C16.1w9",0,0
"B_019","B_019_Ido_342019_13.qgd","1","C16.1w9",0,0
"B_020","B_020_Ido_342019_14.qgd","1","C16.1w9",0,0
"B_042","B_042_Ido_342019_16.qgd","1","C16.1w9",0,0
"B_079","B_079_Ido_342019_22.qgd","1","C16.1w9",0,0
"B_015","B_015_Dung_342019_11.qgd","1","C16.1w9",0,0
"B_287","B_287_Stag_322019_9.qgd","1","C16.1w9",0,0
"Blank","Blank_2-23__322019_10.qgd","1","C16.1w9",0,0
"Blank","Blank_2-27__322019_19.qgd","1","C16.1w9",0,0
"Blank","Blank_2-28_064__342019_10.qgd","1","C16.1w9",0,0
"Blank","Blank_3-1_342019_23.qgd","1","C16.1w9",0,0
"B_008","B_008_Ulva_322019_22.qgd","1","C16.1w7",457601,4.1621
"B_009","B_009_Ulva_322019_23.qgd","1","C16.1w7",1435025,13.0521
"B_035","B_035_Ulva_322019_25.qgd","1","C16.1w7",336481,3.0604
"B_036","B_036_Ulva_322019_26.qgd","1","C16.1w7",525899,4.7832
"B_069","B_069_Ulva_342019_20.qgd","1","C16.1w7",478749,4.3544
"B_070","B_070_Ulva_342019_21.qgd","1","C16.1w7",445701,4.0538
"B_039","B_039_EG_322019_27.qgd","1","C16.1w7",348264,3.1676
"B_104","B_104_EG_322019_8.qgd","1","C16.1w7",248862,2.2635
"B_040","B_040_EG_342019_15.qgd","1","C16.1w7",396697,3.6081
"B_063","B_063_EG_342019_7.qgd","1","C16.1w7",339438,3.0873
"B_064","B_064_EG_342019_9.qgd","1","C16.1w7",366750,3.3357
"B_005","B_005_Fucus_322019_20.qgd","1","C16.1w7",1253869,11.4044
"B_006","B_006_Fucus_322019_21.qgd","1","C16.1w7",1532961,13.9429
"B_030","B_030_Fucus_322019_13.qgd","1","C16.1w7",1502432,13.6652
"B_031","B_031_Fucus_322019_14.qgd","1","C16.1w7",1686680,15.341
"B_066","B_066_Fucus_342019_8.qgd","1","C16.1w7",958595,8.7188
"B_067","B_067_Fucus_342019_19.qgd","1","C16.1w7",1154469,10.5003
"B_033","B_033_SKelp_322019_15.qgd","1","C16.1w7",213068,1.9379
"B_034","B_034_SKelp_322019_24.qgd","1","C16.1w7",466460,4.2426
"B_060","B_060_SKelp_322019_16.qgd","1","C16.1w7",202075,1.8379
"B_061","B_061_SKelp_322019_18.qgd","1","C16.1w7",125315,1.1398
"B_001","B_001_ButterC__322019_11.qgd","1","C16.1w7",1513770,13.7683
"B_002","B_002_ButterC_322019_12.qgd","1","C16.1w7",537565,4.8894
"B_048","B_048_ButterC_342019_18.qgd","1","C16.1w7",534683,4.8631
"B_050","B_050_Macoma_322019_7.qgd","1","C16.1w7",729486,6.6349
"B_018","B_018_Ido_342019_12.qgd","1","C16.1w7",1010543,9.1913
"B_019","B_019_Ido_342019_13.qgd","1","C16.1w7",1658978,15.089
"B_020","B_020_Ido_342019_14.qgd","1","C16.1w7",1589544,14.4575
"B_042","B_042_Ido_342019_16.qgd","1","C16.1w7",464562,4.2254
"B_079","B_079_Ido_342019_22.qgd","1","C16.1w7",606270,5.5143
"B_015","B_015_Dung_342019_11.qgd","1","C16.1w7",1142555,10.392
"B_287","B_287_Stag_322019_9.qgd","1","C16.1w7",400049,3.6386
"Blank","Blank_2-23__322019_10.qgd","1","C16.1w7",0,0
"Blank","Blank_2-27__322019_19.qgd","1","C16.1w7",0,0
"Blank","Blank_2-28_064__342019_10.qgd","1","C16.1w7",0,0
"Blank","Blank_3-1_342019_23.qgd","1","C16.1w7",0,0
"B_008","B_008_Ulva_322019_22.qgd","1","C16.1w5",20291,0.1846
"B_009","B_009_Ulva_322019_23.qgd","1","C16.1w5",23431,0.2131
"B_035","B_035_Ulva_322019_25.qgd","1","C16.1w5",13109,0.1192
"B_036","B_036_Ulva_322019_26.qgd","1","C16.1w5",15995,0.1455
"B_069","B_069_Ulva_342019_20.qgd","1","C16.1w5",14770,0.1343
"B_070","B_070_Ulva_342019_21.qgd","1","C16.1w5",17150,0.156
