site,transect_location,species_common,death_estimate,width_mm
Garcia Cove,Edge,Steamer clam,Whole,32
Garcia Cove,Edge,Steamer clam,Whole,31
Garcia Cove,Inside,Butter clam,Sea Otter,86
Garcia Cove,Inside,Butter clam,Sea Otter,58
Garcia Cove,Inside,Horse clam,Sea Otter,115
Garcia Cove,Inside,Pointed macoma,Whole,31
Garcia Cove,Inside,Steamer clam,Sea Otter,50
Garcia Cove,Inside,Steamer clam,Sea Otter,39
Garcia Cove,Inside,Steamer clam,Whole,33
Garcia Cove,Outside,Bentnose macoma,Crab,39
Garcia Cove,Outside,Butter clam,Sea Otter,67
Garcia Cove,Outside,Butter clam,Sea Otter,77
Garcia Cove,Outside,Butter clam,Sea Otter,67
Garcia Cove,Outside,Butter clam,Sea Otter,62
Garcia Cove,Outside,Butter clam,Sea Otter,60
Garcia Cove,Outside,Butter clam,Sea Otter,50
Garcia Cove,Outside,Butter clam,Sea Otter,60
Garcia Cove,Outside,Butter clam,Sea Otter,76
Garcia Cove,Outside,Butter clam,Sea Otter,32
Garcia Cove,Outside,Butter clam,Sea Otter,65
Garcia Cove,Outside,Butter clam,Sea Otter,58
Garcia Cove,Outside,Butter clam,Sea Otter,59
Garcia Cove,Outside,Butter clam,Sea Otter,64
Garcia Cove,Outside,Butter clam,Sea Otter,51
Garcia Cove,Outside,Butter clam,Sea Otter,65
Garcia Cove,Outside,Butter clam,Sea Otter,61
